encoder,suite,seed,task_id,task_description,n_episodes,n_success,success_rate
siglip,libero_goal,1,0,open the middle drawer of the cabinet,50,48,0.96
siglip,libero_goal,1,1,put the bowl on the stove,50,50,1.0
siglip,libero_goal,1,2,put the wine bottle on top of the cabinet,50,50,1.0
siglip,libero_goal,1,3,open the top drawer and put the bowl inside,50,33,0.66
siglip,libero_goal,1,4,put the bowl on top of the cabinet,50,46,0.92
siglip,libero_goal,1,5,push the plate to the front of the stove,50,38,0.76
siglip,libero_goal,1,6,put the cream cheese in the bowl,50,37,0.74
siglip,libero_goal,1,7,turn on the stove,50,50,1.0
siglip,libero_goal,1,8,put the bowl on the plate,50,46,0.92
siglip,libero_goal,1,9,put the wine bottle on the rack,50,37,0.74
siglip,libero_goal,0,0,open the middle drawer of the cabinet,50,47,0.94
siglip,libero_goal,0,1,put the bowl on the stove,50,48,0.96
siglip,libero_goal,0,2,put the wine bottle on top of the cabinet,50,48,0.96
siglip,libero_goal,0,3,open the top drawer and put the bowl inside,50,35,0.7
siglip,libero_goal,0,4,put the bowl on top of the cabinet,50,47,0.94
siglip,libero_goal,0,5,push the plate to the front of the stove,50,32,0.64
siglip,libero_goal,0,6,put the cream cheese in the bowl,50,37,0.74
siglip,libero_goal,0,7,turn on the stove,50,50,1.0
siglip,libero_goal,0,8,put the bowl on the plate,50,43,0.86
siglip,libero_goal,0,9,put the wine bottle on the rack,50,37,0.74
siglip,libero_goal,2,0,open the middle drawer of the cabinet,50,49,0.98
siglip,libero_goal,2,1,put the bowl on the stove,50,49,0.98
siglip,libero_goal,2,2,put the wine bottle on top of the cabinet,50,46,0.92
siglip,libero_goal,2,3,open the top drawer and put the bowl inside,50,36,0.72
siglip,libero_goal,2,4,put the bowl on top of the cabinet,50,48,0.96
siglip,libero_goal,2,5,push the plate to the front of the stove,50,35,0.7
siglip,libero_goal,2,6,put the cream cheese in the bowl,50,29,0.58
siglip,libero_goal,2,7,turn on the stove,50,50,1.0
siglip,libero_goal,2,8,put the bowl on the plate,50,42,0.84
siglip,libero_goal,2,9,put the wine bottle on the rack,50,40,0.8
siglip,libero_object,0,0,pick up the alphabet soup and place it in the basket,50,48,0.96
siglip,libero_object,0,1,pick up the cream cheese and place it in the basket,50,43,0.86
siglip,libero_object,0,2,pick up the salad dressing and place it in the basket,50,50,1.0
